query_id,query,theme,difficulty,config,recall_at_3,recall_at_5,recall_at_10,mrr,faithfulness,citation_accuracy,avg_latency_ms,p95_latency_ms
q15,What is hierarchical multi-agent collaboration?,Agents,medium,Hybrid,0.0,0.0,0.0,0.0,,,24.97,33.04
q15,What is hierarchical multi-agent collaboration?,Agents,medium,Hybrid + Rerank,1.0,1.0,1.0,1.0,,,6959.65,7310.19
q15,What is hierarchical multi-agent collaboration?,Agents,medium,Hybrid + Rerank + Verification,1.0,1.0,1.0,1.0,0.7756,1.0,8998.16,11540.33
q16,How does adaptive reasoning suppression work in LLM agents?,Agents,simple,Dense,1.0,1.0,1.0,1.0,,,30.72,39.03
q16,How does adaptive reasoning suppression work in LLM agents?,Agents,simple,Hybrid,1.0,1.0,1.0,1.0,,,32.73,33.04
q16,How does adaptive reasoning suppression work in LLM agents?,Agents,simple,Hybrid + Rerank,1.0,1.0,1.0,1.0,,,6963.71,7310.19
q16,How does adaptive reasoning suppression work in LLM agents?,Agents,simple,Hybrid + Rerank + Verification,1.0,1.0,1.0,1.0,0.934,1.0,8347.16,11540.33
q17,What are the limitations of agentic reasoning in large language models?,Agents,medium,Dense,0.5,0.5,1.0,1.0,,,29.85,39.03
q17,What are the limitations of agentic reasoning in large language models?,Agents,medium,Hybrid,0.5,0.5,1.0,1.0,,,28.24,33.04
q17,What are the limitations of agentic reasoning in large language models?,Agents,medium,Hybrid + Rerank,1.0,1.0,1.0,1.0,,,6996.17,7310.19
q17,What are the limitations of agentic reasoning in large language models?,Agents,medium,Hybrid + Rerank + Verification,1.0,1.0,1.0,1.0,0.7462,1.0,10265.56,11540.33
q18,How do LLM agents retrieve code for programming tasks?,Agents,simple,Dense,0.0,0.0,0.0,0.0,,,31.31,39.03
q18,How do LLM agents retrieve code for programming tasks?,Agents,simple,Hybrid,0.0,0.0,0.0,0.0,,,27.55,33.04
q18,How do LLM agents retrieve code for programming tasks?,Agents,simple,Hybrid + Rerank,0.0,0.0,0.0,0.0,,,7038.45,7310.19
q18,How do LLM agents retrieve code for programming tasks?,Agents,simple,Hybrid + Rerank + Verification,0.0,0.0,0.0,0.0,0.7203,0.75,9369.19,11540.33
q19,What is the importance of token efficiency in agent architectures?,Agents,medium,Dense,0.0,0.0,0.5,0.1429,,,35.52,39.03
q19,What is the importance of token efficiency in agent architectures?,Agents,medium,Hybrid,0.0,0.0,0.5,0.1111,,,33.04,33.04
q19,What is the importance of token efficiency in agent architectures?,Agents,medium,Hybrid + Rerank,0.0,0.5,0.5,0.25,,,6941.03,7310.19
q19,What is the importance of token efficiency in agent architectures?,Agents,medium,Hybrid + Rerank + Verification,0.0,0.5,0.5,0.25,0.7859,0.8,11334.51,11540.33
q20,How does tool-use affect retrieval-augmented agents?,Agents,multi-chunk,Dense,0.0,0.0,0.0,0.0,,,33.58,39.03
q20,How does tool-use affect retrieval-augmented agents?,Agents,multi-chunk,Hybrid,0.0,0.0,0.0,0.0,,,31.1,33.04
q20,How does tool-use affect retrieval-augmented agents?,Agents,multi-chunk,Hybrid + Rerank,0.0,0.0,0.0,0.0,,,7491.81,7310.19
q20,How does tool-use affect retrieval-augmented agents?,Agents,multi-chunk,Hybrid + Rerank + Verification,0.0,0.0,0.0,0.0,0.7357,0.8,9453.44,11540.33
q21,What is LoRA fine tuning and how does it work?,Fine-tuning,simple,Dense,1.0,1.0,1.0,1.0,,,29.21,39.03
q21,What is LoRA fine tuning and how does it work?,Fine-tuning,simple,Hybrid,1.0,1.0,1.0,1.0,,,27.34,33.04
q21,What is LoRA fine tuning and how does it work?,Fine-tuning,simple,Hybrid + Rerank,1.0,1.0,1.0,1.0,,,7146.36,7310.19
q21,What is LoRA fine tuning and how does it work?,Fine-tuning,simple,Hybrid + Rerank + Verification,1.0,1.0,1.0,1.0,0.7404,0.8,10000.32,11540.33
q22,How does Low-Rank Adaptation reduce model parameters?,Fine-tuning,simple,Dense,0.0,0.0,1.0,0.1667,,,34.1,39.03
q22,How does Low-Rank Adaptation reduce model parameters?,Fine-tuning,simple,Hybrid,1.0,1.0,1.0,0.5,,,28.36,33.04
q22,How does Low-Rank Adaptation reduce model parameters?,Fine-tuning,simple,Hybrid + Rerank,0.0,1.0,1.0,0.25,,,7118.42,7310.19
q22,How does Low-Rank Adaptation reduce model parameters?,Fine-tuning,simple,Hybrid + Rerank + Verification,0.0,1.0,1.0,0.25,0.7386,0.75,9812.82,11540.33
q23,What is the difference between LoRA and full fine-tuning?,Fine-tuning,medium,Dense,0.5,1.0,1.0,0.5,,,29.55,39.03
q23,What is the difference between LoRA and full fine-tuning?,Fine-tuning,medium,Hybrid,0.5,0.5,1.0,1.0,,,26.23,33.04
q23,What is the difference between LoRA and full fine-tuning?,Fine-tuning,medium,Hybrid + Rerank,1.0,1.0,1.0,1.0,,,7052.03,7310.19
q23,What is the difference between LoRA and full fine-tuning?,Fine-tuning,medium,Hybrid + Rerank + Verification,1.0,1.0,1.0,1.0,0.5203,0.6,10329.45,11540.33
q24,What are the memory benefits of LoRA fine tuning?,Fine-tuning,simple,Dense,1.0,1.0,1.0,1.0,,,32.54,39.03
q24,What are the memory benefits of LoRA fine tuning?,Fine-tuning,simple,Hybrid,1.0,1.0,1.0,1.0,,,24.0,33.04
q24,What are the memory benefits of LoRA fine tuning?,Fine-tuning,simple,Hybrid + Rerank,1.0,1.0,1.0,1.0,,,7310.19,7310.19
q24,What are the memory benefits of LoRA fine tuning?,Fine-tuning,simple,Hybrid + Rerank + Verification,1.0,1.0,1.0,1.0,0.6122,0.5,9541.99,11540.33
q25,How does federated LoRA fine-tuning work?,Fine-tuning,simple,Dense,1.0,1.0,1.0,1.0,,,29.52,39.03
q25,How does federated LoRA fine-tuning work?,Fine-tuning,simple,Hybrid,1.0,1.0,1.0,1.0,,,26.07,33.04
q25,How does federated LoRA fine-tuning work?,Fine-tuning,simple,Hybrid + Rerank,1.0,1.0,1.0,1.0,,,7061.24,7310.19
q25,How does federated LoRA fine-tuning work?,Fine-tuning,simple,Hybrid + Rerank + Verification,1.0,1.0,1.0,1.0,0.7148,0.75,11540.33,11540.33
q26,What is parameter-efficient fine-tuning (PEFT)?,Fine-tuning,medium,Dense,0.0,1.0,1.0,0.25,,,30.47,39.03
q26,What is parameter-efficient fine-tuning (PEFT)?,Fine-tuning,medium,Hybrid,0.5,1.0,1.0,0.3333,,,26.49,33.04
q26,What is parameter-efficient fine-tuning (PEFT)?,Fine-tuning,medium,Hybrid + Rerank,0.5,0.5,1.0,0.3333,,,7059.15,7310.19
q26,What is parameter-efficient fine-tuning (PEFT)?,Fine-tuning,medium,Hybrid + Rerank + Verification,0.5,0.5,1.0,0.3333,0.9487,1.0,9048.42,11540.33
q27,What is the role of rank in LoRA adaptation?,Fine-tuning,medium,Dense,1.0,1.0,1.0,0.3333,,,32.89,39.03
q27,What is the role of rank in LoRA adaptation?,Fine-tuning,medium,Hybrid,1.0,1.0,1.0,1.0,,,29.45,33.04
q27,What is the role of rank in LoRA adaptation?,Fine-tuning,medium,Hybrid + Rerank,1.0,1.0,1.0,1.0,,,7065.85,7310.19
q27,What is the role of rank in LoRA adaptation?,Fine-tuning,medium,Hybrid + Rerank + Verification,1.0,1.0,1.0,1.0,0.5641,0.6,9180.4,11540.33
q28,How does LoRA reduce the memory footprint compared to full fine-tuning?,Fine-tuning,simple,Dense,1.0,1.0,1.0,1.0,,,44.59,39.03
q28,How does LoRA reduce the memory footprint compared to full fine-tuning?,Fine-tuning,simple,Hybrid,1.0,1.0,1.0,1.0,,,45.78,33.04
q28,How does LoRA reduce the memory footprint compared to full fine-tuning?,Fine-tuning,simple,Hybrid + Rerank,1.0,1.0,1.0,1.0,,,7293.4,7310.19
q28,How does LoRA reduce the memory footprint compared to full fine-tuning?,Fine-tuning,simple,Hybrid + Rerank + Verification,1.0,1.0,1.0,1.0,0.7104,0.75,9586.43,11540.33
q29,What is the difference between LoRA and prompt tuning?,Fine-tuning,medium,Dense,0.0,0.0,0.5,0.1429,,,27.69,39.03
q29,What is the difference between LoRA and prompt tuning?,Fine-tuning,medium,Hybrid,0.0,0.0,0.5,0.1667,,,25.15,33.04
q29,What is the difference between LoRA and prompt tuning?,Fine-tuning,medium,Hybrid + Rerank,0.5,0.5,0.5,0.5,,,6853.8,7310.19
q29,What is the difference between LoRA and prompt tuning?,Fine-tuning,medium,Hybrid + Rerank + Verification,0.5,0.5,0.5,0.5,0.9475,1.0,8810.7,11540.33
q30,How does federated learning enhance LoRA fine-tuning?,Fine-tuning,simple,Dense,1.0,1.0,1.0,1.0,,,32.31,39.03
q30,How does federated learning enhance LoRA fine-tuning?,Fine-tuning,simple,Hybrid,1.0,1.0,1.0,1.0,,,28.92,33.04
q30,How does federated learning enhance LoRA fine-tuning?,Fine-tuning,simple,Hybrid + Rerank,1.0,1.0,1.0,1.0,,,6891.05,7310.19
q30,How does federated learning enhance LoRA fine-tuning?,Fine-tuning,simple,Hybrid + Rerank + Verification,1.0,1.0,1.0,1.0,0.7148,0.75,11568.38,11540.33
